皆さんはじめまして、或いはお久しぶりです。私は出張でこの村を訪れた電気工事士の@です。,自己紹介
@さんはリラックスしているので、人狼ではないと思います。,白:リラックス
@さんは何か発言がオカシイので、人狼なのは間違いありませんっ！,黒:発言:矛盾
村を思って沢山意見してくださった@さんは白に違いないです！こんな素晴らしい人が人狼のはずがありませんっ！,白:恩義
作戦を提案してくれた@さんに投票するなんて出来ません…,白:恩義:投票
皆さん揃って@が黒だーばっか言ってますけど、私はそう思いません。,白
こんなに言い争った2人が人狼だとは思いません。,白
人狼は答えを知ってます。なのに間違えたということは、この人が人狼である可能性は低いと思われます。,白:間違い
この時を待っていました。ワザと黙っていました。黙り込んでる人をわざわざ指名するということは、貴方こそ人狼なんでしょ？,黒:自分:疑念
いやぁ～…能力者さんを守りたくてそれっぽく振る舞ってたんですけど、駄目でしたかぁ～(笑),自供
ぐ、ぐ、グワーッ！私の仕事は、人狼を告発すること…だからァァ！...ﾒﾂﾎﾞｳｼﾞﾝﾗｲﾈｯﾄﾆｾﾂｿﾞｸｼﾏｼﾀ,退場
